deal,opp_id,stage,win,momentum,commitment,risk,read,win_engine,factor_source,calls_read,prev_win,prev_mom,minutes,win_reasons,momentum_reasons
Robert Bosch,006P700000PlMpu,Shortlisted,54.0,58.0,68.0,48.0,Close-date risk,10.8,ai,21,36.0,31.0,0,"[good] Survived the cut into RFP Round 2 — narrowed from a 4-5 supplier long-list on 2 Feb; no rival has been confirmed ahead at any point, and advancement was buyer-confirmed 29 Jun. || [good] Deep, buyer-run qualification — 17-user POC, Bosch's own internal PoC assessment (22 May), technical deep-dive plus onsite workshop, 12 of 15 meetings transcribed. || [good] MEDDPICC mostly locked — metrics, economic buyer, decision criteria, decision process, and pain all marked confirmed from real buyer sessions. || [warn] No direct economic-buyer face time — vulnerabilities explicitly flag 'No C-level (CPO/CFO) engagement yet'; champion Kirmse gates access but hasn't introduced. ► Force an EB touchpoint before the 17 Jul submission. || [warn] Architecture gap called a mandate — BYOK/SCIM flagged as 'critical deviations' and a 'mandate for Bosch' in the 22 May closing review. ► Deliver the written confirmation Varun committed to. || [warn] Close date isn't credible — 31 Jul close sits before the 17 Jul RFP response even lands; realistic close is mid-Aug to early Sep. ► Update CloseDate to reflect the true timeline.","[good] Buyer issued RFP Round 2 documents — received 29 Jun 2026, response due 17 Jul 2026; this buyer-owned deadline keeps the deal live in process-mode despite 44 days since the last meeting. || [good] Sustained deep-dive engagement through May — 12 transcribed sessions including Technical Deep Dive (26 May), AI Deep-dive (21 May), and a two-day onsite POC workshop (11-12 May). || [warn] Our own API docs are overdue — Swagger/Postman collection requested 26 May still not delivered as of 6 Jul; this is an execution risk on us, not a buyer stall. ► Ship the API documentation before Round 2 review. || [good] Deal strengthened materially ~70 days ago — Amount $300K→$1.2M, stage Formal Eval→Shortlisted, forecast Pipeline→Best Case, all in the same window. || [warn] No future meeting on the calendar — next_scheduled is null; the last planned touch was a 25 Jun call to Thomas Kirmse. ► Lock a dated call before the 17 Jul RFP deadline. || [warn] Champion's exec-access plan stalled — Kirmse's own note ('engage with c-level once through testing,' 12 May) has sat unactioned for seven weeks. ► Push Kirmse for a named C-level intro this week."
Temasek,006P700000BV2eA,Formal Evaluation,37.0,66.0,46.0,63.0,Moving,10.8,ai,1,50.5,96,0,"[warn] No economic buyer engaged — vulnerabilities explicitly flag no CFO/CPO/C-suite sponsor; contacts are mid-level (Adam Kang, Shirley Tan, Wing Yu Onz). ► Use STE/Infosys Compass to open EB access before the shortlist decision. || [warn] No confirmed champion — MEDDPICC marks champion 'gap'; Adam Kang is engaged (AI deck, 6 Feb call) but no source shows him advocating for Zycus internally. ► Convert Adam Kang into an active advocate ahead of the clarification deadline. || [warn] Workday is a structural threat, not just a bidder — buyer repeatedly presses for proof of Workday integration (6 Feb call, Next_Step refs), and Workday is also the incumbent ERP. ► Close the Workday-integration reference gap the buyer asked for. || [good] Still alive in a 5-6 vendor field with no rival confirmed ahead — GEP, Coupa, Ivalua, Workday, JAGGAER all named, but the 1 Jul clarification round shows Zycus is still being evaluated, not cut. || [good] AI narrative is landing — buyer's detailed 6 Feb questions on Merlin persona-aware intake and AI redlining match Zycus's 'AI-embedded I2O' positioning (Next_Step__c, 20 Mar 2026). || [warn] No quantified business case — MEDDPICC metrics is 'gap'; buyer pain (manual contract workflows) is qualitative only. ► Build an ROI case with Adam Kang to differentiate against price-competitive rivals in a sovereign-fund procurement.","[good] Buyer issued a live clarification round — 60 questions received 1 Jul 2026, due 15 Jul, only ~8 days old and keeping the RFI process actively moving. || [good] RFI submitted on time — Next_Step__c: 'RFI submitted on time - strong proposal and now we wait for shortlist' (6 Jun 2026). || [good] Deliverable cadence is escalating — NDA (20 Apr) → RFI invite (11 May) → RFI submission (6 Jun) → clarifications (1 Jul); a rising, buyer-driven sequence, not a stall. || [warn] Zero calendar meetings logged anywhere — 0 Avoma/Task meetings in the 30/60/90-day windows; every touchpoint lives only in the Next_Step__c narrative. ► Start logging RFI calls as Tasks/Events so future runs don't read this as dark. || [warn] No future session or shortlist date on the calendar — next_scheduled_meeting is null. ► Get a shortlist-readout call booked once clarifications are submitted 15 Jul."
Techtronic,006P700000GWfrf,Shortlisted,48.0,65.0,55.0,68.0,Close-date risk,10.8,ai,3,52,99,0,"[good] Genuine top-two shortlist — TTI narrowed to 2 vendors on 11 May 2026, and the 1 Jul S2C pivot is reported as strengthening Zycus's hand specifically vs Coupa. || [warn] Economic buyer completely unengaged — CFO decides scope/vendor week of 13 Jul with no Zycus pricing, ROI, or relationship to date. ► Get a tailored ROI/exec brief to Duncan/Tej to carry into the CFO meeting before 13 Jul. || [warn] Submission gap vs every active rival — Coupa/GEP/iValua have all already supplied RACI and phased implementation plans; Zycus has not. ► Send the promised revised pricing + RACI/implementation plan (due 8 Jul) immediately. || [good] References cleared — Tej Ram confirmed 30 Jun that TTI 'completed references and are going through final stages of process' (Nissan, TataPlay). || [warn] High-threat rivals still active — GEP and iValua were flagged as strong threats on 11 May with no buyer-voiced confirmation Zycus has since pulled ahead. || [warn] Commercial uncertainty — a 50% likelihood of an S2C-only pivot would shrink the deal from $220K to roughly $110-130K and push P2P/Merlin Intake to 2027.","[good] Active two-way dialogue — 11 buyer touches in 30 days, 14 SFDC email touches in 60 days, most recently a 1 Jul 2026 implementation/licensing meeting. || [good] Fresh, dated next step — 8 Jul plan to send Duncan/Tej revised pricing and target a call by EOD, tied directly to the CFO's scope decision week of 13 Jul. || [good] Cadence accelerated since May — near-weekly substantive updates (references, sandbox plan, costing asks) from 11 May through 8 Jul vs sparser Mar-Apr touchpoints. || [warn] No future meeting booked — next_scheduled_meeting is null even though TTI's CFO decides scope/vendor within days. ► Lock a specific Duncan/Tej or CFO session before 13 Jul. || [warn] Thin on recorded sessions — only 1 actual meeting logged in the last 90 days; most cadence is email/next-step narrative rather than buyer face time. || [warn] Close date pulled in but unsupported — Aug 30 → Jul 30 move looks positive, but it precedes the 13 Jul CFO decision with no paper process yet in motion."
SAMI,006P700000RD9Ir,Shortlisted,56.0,70.0,58.0,70.0,At risk,10.8,ai,2,39.0,54.0,0,"[warn] No champion, no direct EB access — Franck Devienne is explicitly logged as gatekeeper, not champion; CFO/CPO-level budget authority has never joined a call. ► Build internal advocacy and force a direct EB session before final scoring. || [warn] AI positioning conflicts with a hard buyer restriction — MEDDPICC blocker states 'ZERO AI functionality will be accepted' for KSA data-residency/security reasons, undercutting the Merlin/ANA-led pitch used in both deep-read calls (13 Jan, 23 Jun). ► Re-anchor the pitch on-prem/private-cloud compliance, not AI. || [warn] SAP Ariba integration parity unproven — SAMI runs S/4HANA where Ariba has native ecosystem edge; Zycus offered iSaaS middleware/adapters at the 23 Jun demo with no proof point yet. ► Secure a technical reference or parity PoC before BAFO. || [good] Buyer voluntarily confirmed survival to shortlist-of-3 — 2 Mar 2026 SAMI confidentially confirmed Zycus made the cut to 3 vendors despite regional disruption, and engagement has continued since (demo, quote request). || [good] Deep, buyer-run structured evaluation — ~600-question RFP clarification round, live demo, and ongoing InfoSec/DC/reference checks show real buyer investment (deep qualification), which is holding the position even with EB/champion gaps. || [warn] Defense-compliance questions still open — trade/FARS, classified-material lineage and consignment/MRP integration remain unanswered since the 23 Jun demo. ► Close these in writing before the end-of-July evaluation deadline.","[good] Buyer actively driving next round — 3 Jul next-step note: SAMI asked for revised quotes via KPMG/Accenture and flagged open tech queries, a buyer-issued deliverable, not rep-chased. || [good] Recent high-value session logged — 23 Jun 2026 'ZYCUS SRM - Live Demo' (152 min, transcript, sami.com.sa/alsalam.aero attendees) directly addressed RFP positioning. || [warn] No future meeting on the calendar — next_scheduled_meeting is null despite a live RFP racing toward an end-July evaluation close. ► Lock the next SRM/decision session now, don't let the cadence go quiet. || [good] Continuous forward trail since Dec 2025 — RFI (24 Jan) → RFP submitted (4 May) → ~600 clarifications → demo (23 Jun) → revised-quote request (3 Jul) shows steady buyer-paced advancement, not stalling. || [warn] Close date already pushed once — 2026-06-29 → 2026-08-29 (61 days) with no buyer-confirmed reason on file. ► Reconfirm the true decision date with Franck/advisor before next forecast call. || [good] Buyer-set evaluation deadline keeps process live — 'end of July' close of all evaluations (per 3 Jul next step) qualifies this as an on-track structured process, not a dark deal."
Wheelson/Mumtalakat,006P700000VlPdp,Shortlisted,40.0,30.0,28.0,68.0,On hold,10.8,ai,0,52,52.3,0,"[warn] Zero economic-buyer access — 12+ weeks since Zycus was shortlisted (15 Apr 2026) alongside Aerchain, and Mumtalakat itself has never taken a Zycus meeting; all contact runs through Wheelson. ► Push Wheelson hard for a direct Mumtalakat introduction. || [good] Genuine two-horse race, not a long-shot — Wheelson narrowed 5 vendors down to Zycus and Aerchain for the Enterprise track (confirmed 15 Apr 2026); Zip only won the separate Small-track. || [warn] Champion one layer removed and gone quiet — Samynathan (Wheelson-side, not Mumtalakat) has relayed status for 4 months but has surfaced nothing new since the 3 Jun 2026 call. ► Re-establish a direct cadence with Samynathan this week. || [good] Deal was genuinely strengthening on the record — Amount $250K→$300K, forecast Pipeline→Best Case, stage Formal Eval→Shortlisted, all inside a few weeks in April 2026 — though this compound signal is now ~3 months stale. || [warn] Paper process and EB both still open gaps in MEDDPICC — no procurement motion recorded, decision process only partial, competition only partial (Aerchain's and JAGGAER's true standing unverified since Zycus has no direct line to Mumtalakat). || [warn] Geopolitical delay has blown past its own target — expected resumption ""mid-May"" per the 15 Apr note never happened; as of 30 Jun the plan is still just ""reach out for update,"" not a confirmed buyer milestone. ► Get Wheelson to commit to a hard resumption date.","[warn] No confirmed buyer contact in months — only the 3 Jun 2026 Wheelson CEO check-in registers as real dialogue; meetings.total_all_time = 0, no Avoma transcripts on this account at all. || [warn] Rep chasing, buyer passive — every logged next-step (""Reach out to Wheelson for update/status"") originates from the rep; Wheelson/Mumtalakat has not initiated a single touch. || [warn] Cooling off the April peak — the Mar 18 / Apr 15 demo-and-shortlist burst hasn't been matched by anything since; only a single status call in the last ~2 months. || [good] Not ice-cold yet — the 3 Jun 2026 Wheelson CEO call keeps the buyer-action clock inside 30 days, and last_activity_date (2 Jul 2026) shows the rep still actively tracking the account. || [warn] No forward calendar — next_scheduled_meeting is null; there is no dated future session with Wheelson or Mumtalakat to anchor recovery. || [warn] Own admission of delay — the 3 Jun note says activity ""has slowed due to geopolitical issues, expect to resume next week,"" but the 30 Jun follow-up still shows no resumption, just another plan to reach out."
Mair Group,006P700000PtQGP,,FAILED,,,,,,,,,,,,
MTR Corporation,006P700000KTTO5,,FAILED,,,,,,,,,,,,
Khansaheb,006P700000LtIUv,Shortlisted,40.0,13.0,25.0,80.0,At risk,10.8,ai,3,55.1,47.7,0,"[warn] Shortlisted 1-of-2 but frozen — Abraham confirmed on 18 May 2026 we're one of two finalists, but 'all non-essential spend is paused' during the regional blockade. ► Get a written re-engagement trigger/date for when spend unfreezes. || [warn] Economic buyer unreachable — Bilal Hamadeh has been unavailable since at least 18 May 2026; every contact routes through Abraham alone. ► Push for a direct Bilal touchpoint or written delegated authority to Abraham. || [good] Deep POC already executed — Oct 2025 Vendor Portal POC and AP Smartdesk/OCR demo sessions with khansaheb.com + crowe.ae attendees validated self-registration, 3-way match, and ERP-integration criteria. || [warn] Deal scope shrunk to marginal size — pilot usage came in low and Khansaheb itself called it 'on the cusp of being too small,' capping commercial upside at $150K. ► Reframe value around margin-protection ROI (materials-price spike) to justify the spend. || [warn] Second shortlisted vendor never disclosed — Khansaheb has declined to name the competitor despite repeated direct asks over 4+ months, leaving the competitive read unverified. || [good] Pain and decision criteria buyer-confirmed — margin pressure from blockade-driven materials pricing plus solution-fit criteria give a live re-engagement hook once budget thaws.","[warn] No real meeting in 252 days — last recorded/transcribed session was the 30 Oct 2025 'Quick synch re: Commercials'; everything since has been email/phone chasing, not face time. ► Convert the 18 May re-engagement into an actual scheduled call now. || [warn] Customer-driven passivity — every update this year originated from the rep ('Pushed a couple of times for updates,' 'several out-of-office responses,' 'escalated...requesting a f2f'), never from Khansaheb. ► Get Abraham to commit to a fixed monthly check-in instead of rep-chased status pings. || [warn] Close date pushed 93 days — from 30 May to 31 Aug 2026, the latest in a year-long pattern of conflict-driven slips. ► Pressure-test whether Aug is realistic while spend is still frozen with no resumption trigger named. || [good] Champion did re-surface on 18 May 2026 — Abraham met the rep, confirmed the 2-vendor shortlist, and offered to bring in upper management / Carl. ► Lock that offered exec session to a real date before this cools again. || [warn] Nothing forward-dated on the calendar — next_scheduled_meeting is null and there is no open buyer milestone driving pace. ► Get a dated commitment for the 'present to upper mgt' session Abraham proposed. || [warn] Confidence has oscillated 5%→50%→5%→50% across Nov '25, Feb '26, and May '26 — a stall-revive-stall rhythm, not sustained build."
HAECO,006P700000NwbBd,Formal Evaluation,27.0,24.0,33.0,76.0,At risk,10.8,ai,2,36.2,58.6,0,"[warn] No economic buyer ever secured — MEDDPICC EB = 'gap'; Next Step (26 Jan) 'chasing after GCPO to meet with Carl' is still unresolved 6+ months later. ► Get Carl/GCPO into a dated session before RFP submission. || [warn] Champion and whole evaluation team departed — Simon Fung exited ~8 May 2026; Next Step (6 Jun) confirms the full team left, forcing a from-scratch rebuild. ► Charlotte needs rapid champion-development, not just status updates. || [warn] Four-way RFP field, no preference voiced — HAECO registered Zycus alongside Coupa, GEP Worldwide and Ivalua (~27 Apr 2026), on top of long-standing SAP Ariba threat. || [warn] Forecast label outruns the evidence — Best Case with amount cut 40%, close pushed 61 days, and 101 days of silence; recorded forecast looks over-positioned. ► Recommend downgrading forecast category to Pipeline pending re-qualification with the new contact. || [good] Positioning still matches stated buyer win themes — HAECO named 'AI execution' and 'industry expertise' as win themes (18 Mar 2026), aligning with Zycus's ST Engineering reference story. || [good] First revival signal in 9 weeks — Charlotte confirmed (2 Jul 2026) the deal is 'back in motion' with cost estimates reviewed and an F2F being planned.","[warn] 101 days dark, nothing scheduled — last buyer meeting was 30 Mar 2026; next_scheduled meeting is null and no future calendar item exists. || [warn] Entire evaluation team walked out — Next Step (6 Jun 2026): 'All of evaluation team has now departed HAECO... will result in delays.' || [good] Fresh buyer contact broke the silence — Charlotte's 2 Jul 2026 update: 'RFP coming shortly... deal is back in motion,' first positive signal in ~9 weeks. || [warn] Deal shrinking and slipping — Amount cut $750K→$450K (33d ago) and close date pushed 61 days (Aug→Oct 2026). || [warn] Cadence collapsed vs. prior period — 3 meetings logged in March 2026 alone (2nd/18th/30th) vs. zero in the 90 days since."
Globe Telecom,006P7000008hZHF,Shortlisted,40.0,30.0,28.0,78.0,Stalled,10.8,ai,0,49.4,57.0,0,"[warn] Deal size cut nearly in half — $650K → $350K only 33 days ago, alongside the 169-day close push, both undercutting the 'Best Case' tag. ► Re-validate scope/pricing with Ortega and Jerry before honoring Best Case. || [warn] No economic-buyer access in 19 months — last CEO/CFO contact was 31-Jul-2024; all 2026 engagement is mid-tier (Ortega, procurement). ► Force the planned F2F with Jerry (VP Procurement) and Anton onto the calendar. || [warn] Incumbent renewal looming again — SAP Ariba, already extended once (Aug-2025), has a renewal approaching per the 6-Jun-2026 note, risking a default renewal absent action. ► Pin a firm RFP timeline before that window closes. || [good] Real depth on record — a 2024 AI workshop, ongoing Chief AI Officer relationship (incl. the 21-May-2026 walkthrough), and a historical CEO/CFO touch show this wasn't a shallow engagement. || [good] Pain and competitive landscape are clear — Globe's own leadership has voiced budget/consolidation urgency, and Ariba is a known, understood incumbent rather than a hidden threat. || [warn] Decision and paper process both unconfirmed — MEDDPICC shows decision_process and paper_process as gaps and champion only 'partial.' ► Get Ortega to commit to a dated internal presentation to management.","[warn] Close date slipped 169 days — CloseDate moved 2026-07-15 → 2026-12-31, the latest entry in a multi-year pattern of pushes since 2024. ► Get a firm, buyer-confirmed date, not another placeholder. || [warn] No future meeting on the calendar — next_scheduled is null; last confirmed session was the 21-May-2026 Agentic AI walkthrough, 49 days dark. ► Convert the 'planning a F2F asap' note into a dated invite this week. || [good] Procurement re-engaged — Joseph Ortega (Head of Procurement) had a 'good meeting' on 6-Jun-2026 and is planning to present Zycus internally to management as Ariba's renewal approaches. || [warn] Rep carrying the cadence — 12 SFDC email touches in 60 days vs only 2 buyer touches in 30 days; buyer engagement points (60d) are just 9.2. ► Shift from rep-chasing to a buyer-owned action item. || [warn] Champion gone quiet — the contact who once called Zycus 'well positioned for single-source' has gone passive; the current driver (Ortega) is unproven at decision-maker level."
Gamuda,006P700000Q15OU,,FAILED,,,,,,,,,,,,
Cebu Pacific Air,0066700000wdNe1,,FAILED,,,,,,,,,,,,
Bandhan Bank,006P700000H55TV,,FAILED,,,,,,,,,,,,
Arabian Industries,006P700000QvP7Z,Shortlisted,50.0,43.0,42.0,68.0,On hold,10.8,ai,2,70,57.8,0,"[good] Confirmed survival of a competitive cut — buyer explicitly confirmed on 22 Jun 2026 that Zycus is in the top-3 shortlist; RFP-advancement floor applied since no rival is confirmed ahead. || [warn] Economic buyer still unengaged — CFO/MD introduction promised by champion Tushar Patel since Feb 2026 has never materialized, 5+ months later. ► Push for a CFO touchpoint before the restart, not after. || [warn] No budget committed — CFO (budget owner) hasn't funded the project, which is labeled 'non-essential' and paused for the war. ► Re-confirm budget status directly at restart. || [good] Differentiation is landing — buyer proactively asked about agentic vs generative AI on the very first call (11 Dec 2025) and named Merlin ANA as a specific interest, demoed 11 Feb 2026. || [warn] Single-threaded after a full RFP cycle — only Tushar Patel is engaged across discovery, demo, and RFP; no other stakeholder has surfaced. ► Multi-thread into IT/other procurement contacts now. || [warn] Real competitive field unknown — buyer confirmed 'top-3' but won't name the other two finalists, so we can't tailor the deeper demo to counter specific gaps.","[warn] War froze the project — buyer confirmed 22 Jun 2026 that 'all non-essential projects are paused by exec team,' with restart only 'expected' in July/August. || [good] Buyer proactively updated us, not silence — the 22 Jun sync (17 days ago) delivered a real status confirmation (top-3 shortlist) plus a directional Q3 decision timeline. || [warn] Nothing booked to catch the restart — next_scheduled_meeting is null; no calendar hold exists for the expected July/Aug reopening. ► Lock a placeholder check-in for early August now. || [good] Stage and forecast both moved 17 days ago — Formal Eval→Shortlisted and Pipeline→Best Case, both buyer-confirmed, not just internal optimism. || [warn] Engagement density has fallen off a cliff — the heavy Mar–May clarification cadence (near-weekly touches) dropped to a single check-in call since, even accounting for the war. || [warn] Close date already slipped 34 days — 2026-08-28 → 2026-10-01 — consistent with the stated pause but stretching the runway further. ► Get a written, dated restart commitment, not just 'expecting.'"
ACEN,006P700000DkWgX,Vendor Selected,20.0,5.0,18.0,82.0,On hold,10.8,ai,4,20,8,0,"[good] Deep historical qualification — EB Zee had direct face time (28 Feb 2025, 'Zee, Carl and Madhuri'), and MEDDPICC (EB, pain, decision process/criteria, competition) all confirmed — Depth Tier 2, floor 42 before the gate. || [warn] Momentum gate fires — Vendor Selected but Momentum ~8 after 330 days dark with no live buyer milestone; the depth floor is overridden and Win is halved from ~42 to ~20. || [warn] SAP Ariba is the live commercial threat — buyer flagged 'concerned over SAP secondary integration cost which is significant,' the unresolved variable keeping ACEN on SAP's ecosystem. || [warn] No re-scoped proposal delivered — Oct 2025 request to trim scope/budget was never confirmed sent, and nothing has moved since. || [warn] Champion gone quiet — Jeff (RFP logistics, MSA routing) has no confirmed active engagement since roughly Q3 2025. || [good] Buyer showed real intent once — Zee indicated in Oct 2025 he could get a right-sized proposal through exco, evidence of genuine (if now stalled) advocacy.","[warn] 330 days since any real buyer session — last meeting was the 13 Aug 2025 architecture walkthrough; zero meetings logged in the 30/60/90-day windows. || [warn] Rep chasing into silence — three separate revival attempts (14 Jan, 16 Mar, 4 May 2026 next-step notes) show no recorded buyer reply. ► Escalate via Jeff or a new exec contact instead of repeating email asks. || [warn] Close date pushed to 2027-01-31 — consistent with the Sep/Oct 2025 exco postponement never being recovered; the buyer's own quarter-delay has stretched to ~9 months. ► Re-baseline the date to the real timeline. || [warn] Buyer paused the project, not just quiet — Zee told the team on 22 Sep 2025 exco decided to delay 'by a quarter minimum,' and no revival has landed since. || [good] Real relationship base to restart from — Zee (CPO) and Jeff drove architecture walkthroughs, a 127-min full demo, and revised commercials through 2025."
