deal,opp_id,account,stage,win,momentum,commitment,risk,read,engine,factor_source,calls_read,updated_at,win_reasons,momentum_reasons,commitment_reasons,risk_reasons
Temasek,006P700000BV2eA,Temasek,Formal Evaluation,37.0,66.0,46.0,63.0,Moving,10.8,ai,1,2026-07-09T16:19:32.019701+00:00,"[warn] No economic buyer engaged — vulnerabilities explicitly flag no CFO/CPO/C-suite sponsor; contacts are mid-level (Adam Kang, Shirley Tan, Wing Yu Onz). ► Use STE/Infosys Compass to open EB access before the shortlist decision. || [warn] No confirmed champion — MEDDPICC marks champion 'gap'; Adam Kang is engaged (AI deck, 6 Feb call) but no source shows him advocating for Zycus internally. ► Convert Adam Kang into an active advocate ahead of the clarification deadline. || [warn] Workday is a structural threat, not just a bidder — buyer repeatedly presses for proof of Workday integration (6 Feb call, Next_Step refs), and Workday is also the incumbent ERP. ► Close the Workday-integration reference gap the buyer asked for. || [good] Still alive in a 5-6 vendor field with no rival confirmed ahead — GEP, Coupa, Ivalua, Workday, JAGGAER all named, but the 1 Jul clarification round shows Zycus is still being evaluated, not cut. || [good] AI narrative is landing — buyer's detailed 6 Feb questions on Merlin persona-aware intake and AI redlining match Zycus's 'AI-embedded I2O' positioning (Next_Step__c, 20 Mar 2026). || [warn] No quantified business case — MEDDPICC metrics is 'gap'; buyer pain (manual contract workflows) is qualitative only. ► Build an ROI case with Adam Kang to differentiate against price-competitive rivals in a sovereign-fund procurement.","[good] Buyer issued a live clarification round — 60 questions received 1 Jul 2026, due 15 Jul, only ~8 days old and keeping the RFI process actively moving. || [good] RFI submitted on time — Next_Step__c: 'RFI submitted on time - strong proposal and now we wait for shortlist' (6 Jun 2026). || [good] Deliverable cadence is escalating — NDA (20 Apr) → RFI invite (11 May) → RFI submission (6 Jun) → clarifications (1 Jul); a rising, buyer-driven sequence, not a stall. || [warn] Zero calendar meetings logged anywhere — 0 Avoma/Task meetings in the 30/60/90-day windows; every touchpoint lives only in the Next_Step__c narrative. ► Start logging RFI calls as Tasks/Events so future runs don't read this as dark. || [warn] No future session or shortlist date on the calendar — next_scheduled_meeting is null. ► Get a shortlist-readout call booked once clarifications are submitted 15 Jul.","[good] Buyer investing real evaluation effort — a 60-question clarification request issued 1 Jul 2026 shows the buyer scoring the RFI in real depth. || [good] Formal process artifacts completed — NDA signed (20 Apr 2026) and RFI submitted on time (6 Jun 2026) per Next_Step__c. || [warn] No exec sponsorship secured despite 12+ months of engagement — no CFO/CPO/C-suite touch on record. ► Push for EB access via STE before the final decision round. || [warn] No POC, InfoSec review, or reference call requested by the buyer yet — commitment currently caps out at RFI paperwork and clarification Q&A.","[warn] No economic buyer AND no champion — both MEDDPICC pillars read 'gap', leaving Zycus without an internal advocate in a live 5-6 vendor RFP. ► Build a champion and reach the EB before the shortlist call. || [warn] Workday is both bidder and incumbent ERP — the buyer's repeated integration questions (6 Feb call) give it a structural edge Zycus hasn't neutralized. ► Deliver the Workday-integration proof/reference Adam Kang requested. || [warn] Price-sensitive 5-vendor field at a sovereign wealth fund — GEP, Coupa, and Ivalua are active peer competitors in a structured, cost-conscious procurement process. || [warn] No quantified ROI on record — metrics is 'gap' in MEDDPICC, leaving no savings case to defend price against rivals. || [good] Process is still on-track, not silent — clarification round landed and is being answered on schedule (due 15 Jul), with no missed deadlines to date."
Techtronic,006P700000GWfrf,Techtronic Industries Company Limited,Shortlisted,48.0,65.0,55.0,68.0,Close-date risk,10.8,ai,3,2026-07-09T16:22:32.033291+00:00,"[good] Genuine top-two shortlist — TTI narrowed to 2 vendors on 11 May 2026, and the 1 Jul S2C pivot is reported as strengthening Zycus's hand specifically vs Coupa. || [warn] Economic buyer completely unengaged — CFO decides scope/vendor week of 13 Jul with no Zycus pricing, ROI, or relationship to date. ► Get a tailored ROI/exec brief to Duncan/Tej to carry into the CFO meeting before 13 Jul. || [warn] Submission gap vs every active rival — Coupa/GEP/iValua have all already supplied RACI and phased implementation plans; Zycus has not. ► Send the promised revised pricing + RACI/implementation plan (due 8 Jul) immediately. || [good] References cleared — Tej Ram confirmed 30 Jun that TTI 'completed references and are going through final stages of process' (Nissan, TataPlay). || [warn] High-threat rivals still active — GEP and iValua were flagged as strong threats on 11 May with no buyer-voiced confirmation Zycus has since pulled ahead. || [warn] Commercial uncertainty — a 50% likelihood of an S2C-only pivot would shrink the deal from $220K to roughly $110-130K and push P2P/Merlin Intake to 2027.","[good] Active two-way dialogue — 11 buyer touches in 30 days, 14 SFDC email touches in 60 days, most recently a 1 Jul 2026 implementation/licensing meeting. || [good] Fresh, dated next step — 8 Jul plan to send Duncan/Tej revised pricing and target a call by EOD, tied directly to the CFO's scope decision week of 13 Jul. || [good] Cadence accelerated since May — near-weekly substantive updates (references, sandbox plan, costing asks) from 11 May through 8 Jul vs sparser Mar-Apr touchpoints. || [warn] No future meeting booked — next_scheduled_meeting is null even though TTI's CFO decides scope/vendor within days. ► Lock a specific Duncan/Tej or CFO session before 13 Jul. || [warn] Thin on recorded sessions — only 1 actual meeting logged in the last 90 days; most cadence is email/next-step narrative rather than buyer face time. || [warn] Close date pulled in but unsupported — Aug 30 → Jul 30 move looks positive, but it precedes the 13 Jul CFO decision with no paper process yet in motion.","[good] Buyer completed its own reference vetting — Tej Ram confirmed 30 Jun references are done and TTI is in 'final stages of process.' || [good] Buyer driving specific deliverable asks — Duncan/Tej requested revised pricing, implementation costing/timelines, and a RACI matching what other vendors gave. || [good] Buyer set its own internal milestone — TTI itself scheduled a CFO meeting the week of 13 Jul to decide scope, showing real internal process momentum. || [warn] Zero CFO engagement — the actual decision-maker has had no direct or indirect Zycus contact despite deciding scope/vendor within days. || [warn] Paper process gap — MEDDPICC flags paper_process as a gap; no contract, legal, or procurement-review activity is recorded.",[warn] CFO decision imminent with no relationship — scope/vendor is decided week of 13 Jul with zero Zycus exec engagement to date. || [warn] Close date likely to slip — 30 Jul close precedes the 13 Jul CFO decision with no contract activity yet; vulnerabilities flag a probable slip to Aug-Sep 2026. || [warn] Deliverable disadvantage vs all 3 active rivals — Coupa/GEP/iValua have already submitted RACI and phased implementation plans that Zycus has not yet delivered. || [warn] Deal value at risk — a 50% chance of an S2C-only scope pivot would cut the deal roughly in half ($220K → ~$110-130K) and defer P2P/Merlin Intake to 2027. || [warn] Two high-threat competitors remain active — GEP and iValua were both flagged as strong threats on 11 May 2026 with no evidence Zycus has since displaced them.
Wheelson/Mumtalakat,006P700000VlPdp,Wheelson Technologies,Shortlisted,40.0,30.0,28.0,68.0,On hold,10.8,ai,0,2026-07-09T16:20:32.050966+00:00,"[warn] Zero economic-buyer access — 12+ weeks since Zycus was shortlisted (15 Apr 2026) alongside Aerchain, and Mumtalakat itself has never taken a Zycus meeting; all contact runs through Wheelson. ► Push Wheelson hard for a direct Mumtalakat introduction. || [good] Genuine two-horse race, not a long-shot — Wheelson narrowed 5 vendors down to Zycus and Aerchain for the Enterprise track (confirmed 15 Apr 2026); Zip only won the separate Small-track. || [warn] Champion one layer removed and gone quiet — Samynathan (Wheelson-side, not Mumtalakat) has relayed status for 4 months but has surfaced nothing new since the 3 Jun 2026 call. ► Re-establish a direct cadence with Samynathan this week. || [good] Deal was genuinely strengthening on the record — Amount $250K→$300K, forecast Pipeline→Best Case, stage Formal Eval→Shortlisted, all inside a few weeks in April 2026 — though this compound signal is now ~3 months stale. || [warn] Paper process and EB both still open gaps in MEDDPICC — no procurement motion recorded, decision process only partial, competition only partial (Aerchain's and JAGGAER's true standing unverified since Zycus has no direct line to Mumtalakat). || [warn] Geopolitical delay has blown past its own target — expected resumption ""mid-May"" per the 15 Apr note never happened; as of 30 Jun the plan is still just ""reach out for update,"" not a confirmed buyer milestone. ► Get Wheelson to commit to a hard resumption date.","[warn] No confirmed buyer contact in months — only the 3 Jun 2026 Wheelson CEO check-in registers as real dialogue; meetings.total_all_time = 0, no Avoma transcripts on this account at all. || [warn] Rep chasing, buyer passive — every logged next-step (""Reach out to Wheelson for update/status"") originates from the rep; Wheelson/Mumtalakat has not initiated a single touch. || [warn] Cooling off the April peak — the Mar 18 / Apr 15 demo-and-shortlist burst hasn't been matched by anything since; only a single status call in the last ~2 months. || [good] Not ice-cold yet — the 3 Jun 2026 Wheelson CEO call keeps the buyer-action clock inside 30 days, and last_activity_date (2 Jul 2026) shows the rep still actively tracking the account. || [warn] No forward calendar — next_scheduled_meeting is null; there is no dated future session with Wheelson or Mumtalakat to anchor recovery. || [warn] Own admission of delay — the 3 Jun note says activity ""has slowed due to geopolitical issues, expect to resume next week,"" but the 30 Jun follow-up still shows no resumption, just another plan to reach out.","[warn] No Mumtalakat-owned action items — every task in the record sits with Zycus or Wheelson; the actual economic buyer has never carried an action item. || [good] Wheelson did real evaluation work — built a SWOT-based comparative summary across all 5 vendors ahead of the April two-day workshop, genuine buyer-side investment. || [warn] Paper process untouched — MEDDPICC flags paper_process as a gap; no contracting or procurement motion visible anywhere in the record. || [warn] No references, security review, or onboarding requested — beyond the initial vendor comparison, there's no deeper buyer-side commitment signal. || [good] Still periodically engaging rather than fully dark — the 3 Jun 2026 Wheelson CEO call shows the relationship hasn't gone silent.","[warn] No economic buyer identified — MEDDPICC marks economic_buyer as ""gap""; Mumtalakat, the actual decision-maker, has never met Zycus directly. || [warn] Live named competitor at the same stage — Aerchain confirmed shortlisted alongside Zycus for the Enterprise track (15 Apr 2026); JAGGAER's status post-shortlist is unresolved. || [warn] Indefinite geopolitical delay — the ""gulf situation"" pushed the project back per the 3 Jun 2026 note, with no firm resumption date as of the 30 Jun update. || [warn] Close date (28 Aug 2026, 50 days out) unsupported by current activity — no scheduled meetings, no paper process movement, and a rep-driven-only cadence. || [warn] All visibility is partner-mediated — Zycus has zero independent read on Mumtalakat's true intent or Aerchain's actual competitive standing."
Mair Group,006P700000PtQGP,Mair Group,Contract In Progress,99,95.2,54.7,32.2,Partial Read,,hybrid,12,2026-07-08T08:28:33.007349+00:00,,,,
MTR Corporation,006P700000KTTO5,MTR Corporation Limited,Shortlisted,60,79,52.9,13.6,Partial Read,,hybrid,2,2026-07-08T08:28:15.517496+00:00,,,,
Khansaheb,006P700000LtIUv,Khansaheb,Shortlisted,40.0,13.0,25.0,80.0,At risk,10.8,ai,3,2026-07-09T16:29:38.07418+00:00,"[warn] Shortlisted 1-of-2 but frozen — Abraham confirmed on 18 May 2026 we're one of two finalists, but 'all non-essential spend is paused' during the regional blockade. ► Get a written re-engagement trigger/date for when spend unfreezes. || [warn] Economic buyer unreachable — Bilal Hamadeh has been unavailable since at least 18 May 2026; every contact routes through Abraham alone. ► Push for a direct Bilal touchpoint or written delegated authority to Abraham. || [good] Deep POC already executed — Oct 2025 Vendor Portal POC and AP Smartdesk/OCR demo sessions with khansaheb.com + crowe.ae attendees validated self-registration, 3-way match, and ERP-integration criteria. || [warn] Deal scope shrunk to marginal size — pilot usage came in low and Khansaheb itself called it 'on the cusp of being too small,' capping commercial upside at $150K. ► Reframe value around margin-protection ROI (materials-price spike) to justify the spend. || [warn] Second shortlisted vendor never disclosed — Khansaheb has declined to name the competitor despite repeated direct asks over 4+ months, leaving the competitive read unverified. || [good] Pain and decision criteria buyer-confirmed — margin pressure from blockade-driven materials pricing plus solution-fit criteria give a live re-engagement hook once budget thaws.","[warn] No real meeting in 252 days — last recorded/transcribed session was the 30 Oct 2025 'Quick synch re: Commercials'; everything since has been email/phone chasing, not face time. ► Convert the 18 May re-engagement into an actual scheduled call now. || [warn] Customer-driven passivity — every update this year originated from the rep ('Pushed a couple of times for updates,' 'several out-of-office responses,' 'escalated...requesting a f2f'), never from Khansaheb. ► Get Abraham to commit to a fixed monthly check-in instead of rep-chased status pings. || [warn] Close date pushed 93 days — from 30 May to 31 Aug 2026, the latest in a year-long pattern of conflict-driven slips. ► Pressure-test whether Aug is realistic while spend is still frozen with no resumption trigger named. || [good] Champion did re-surface on 18 May 2026 — Abraham met the rep, confirmed the 2-vendor shortlist, and offered to bring in upper management / Carl. ► Lock that offered exec session to a real date before this cools again. || [warn] Nothing forward-dated on the calendar — next_scheduled_meeting is null and there is no open buyer milestone driving pace. ► Get a dated commitment for the 'present to upper mgt' session Abraham proposed. || [warn] Confidence has oscillated 5%→50%→5%→50% across Nov '25, Feb '26, and May '26 — a stall-revive-stall rhythm, not sustained build.","[warn] Real budget freeze in force — Khansaheb has paused 'all non-essential spend' including this project due to the regional blockade, with no resumption date confirmed. ► Get written confirmation of the resumption trigger. || [warn] No paper process moving — MEDDPICC flags paper_process as a gap; no SOW/redline or procurement step is underway. || [good] Buyer did run a real pilot — Khansaheb's own team used the POC and reported back live usage numbers (19 Nov note), evidence of hands-on investment even though usage came in low. || [warn] No exec sponsorship secured — EB Bilal has never had direct engagement; commitment sits entirely with mid-level champion Abraham, who himself defers decisions upward. || [warn] No references or security/InfoSec review requested at any point in the record.","[warn] Regional blockade freezing spend — all non-essential Khansaheb spend, including this deal, is on hold with no confirmed resumption date. ► Track conflict developments and revisit close date/forecast the moment spend resumes. || [warn] Economic buyer unreachable — Bilal Hamadeh unavailable since 18 May 2026, creating a single point of failure through Abraham. || [warn] Deal near minimum viable size — Khansaheb itself called the shrunk-scope pilot 'on the cusp of being too small,' raising walk-away risk. || [warn] Active but unnamed competitor — a second shortlisted vendor has never been disclosed despite direct asks, blocking a clean competitive picture. || [warn] Repeated close-date slippage — pushed 93 days (May→Aug 2026) on top of a year of blockade-driven delays, with 252 days since the last recorded buyer meeting."
HAECO,006P700000NwbBd,Hong Kong Aircraft Engineering Company Limited,Formal Evaluation,27.0,24.0,33.0,76.0,At risk,10.8,ai,2,2026-07-09T16:31:46.9145+00:00,"[warn] No economic buyer ever secured — MEDDPICC EB = 'gap'; Next Step (26 Jan) 'chasing after GCPO to meet with Carl' is still unresolved 6+ months later. ► Get Carl/GCPO into a dated session before RFP submission. || [warn] Champion and whole evaluation team departed — Simon Fung exited ~8 May 2026; Next Step (6 Jun) confirms the full team left, forcing a from-scratch rebuild. ► Charlotte needs rapid champion-development, not just status updates. || [warn] Four-way RFP field, no preference voiced — HAECO registered Zycus alongside Coupa, GEP Worldwide and Ivalua (~27 Apr 2026), on top of long-standing SAP Ariba threat. || [warn] Forecast label outruns the evidence — Best Case with amount cut 40%, close pushed 61 days, and 101 days of silence; recorded forecast looks over-positioned. ► Recommend downgrading forecast category to Pipeline pending re-qualification with the new contact. || [good] Positioning still matches stated buyer win themes — HAECO named 'AI execution' and 'industry expertise' as win themes (18 Mar 2026), aligning with Zycus's ST Engineering reference story. || [good] First revival signal in 9 weeks — Charlotte confirmed (2 Jul 2026) the deal is 'back in motion' with cost estimates reviewed and an F2F being planned.","[warn] 101 days dark, nothing scheduled — last buyer meeting was 30 Mar 2026; next_scheduled meeting is null and no future calendar item exists. || [warn] Entire evaluation team walked out — Next Step (6 Jun 2026): 'All of evaluation team has now departed HAECO... will result in delays.' || [good] Fresh buyer contact broke the silence — Charlotte's 2 Jul 2026 update: 'RFP coming shortly... deal is back in motion,' first positive signal in ~9 weeks. || [warn] Deal shrinking and slipping — Amount cut $750K→$450K (33d ago) and close date pushed 61 days (Aug→Oct 2026). || [warn] Cadence collapsed vs. prior period — 3 meetings logged in March 2026 alone (2nd/18th/30th) vs. zero in the 90 days since.","[warn] No budget owner ever engaged — repeated attempts since Jan 2026 to reach the GCPO/Carl have not landed a session. || [good] NDA signed and real detail shared — NDA executed Feb 2026; detailed processes shared with business users (6 Apr 2026). || [warn] Buyer's evaluation team dissolved — with the team gone (Jun 2026), there is no one left driving paper process forward. || [good] Concrete procurement step taken — HAECO registered Zycus in its vendor portal to receive the formal RFP (~27 Apr 2026). || [warn] POC/workshop never delivered — use-case workshops planned repeatedly (Dec, Jan, Mar 2026) but never completed or validated.","[warn] No economic buyer identified — a $450K Formal Evaluation deal heading toward RFP with zero C-level engagement is exposed. || [warn] Full buyer-side team turnover — the entire HAECO evaluation team departed (6 Jun 2026), erasing 9 months of relationship-building. || [warn] Deal has already shrunk and slipped — Amount cut $750K→$450K and close date pushed 61 days, both inside the last 60 days. || [warn] Crowded field, no edge — Coupa, GEP Worldwide, Ivalua and SAP Ariba are all live in the same registered RFP process. || [warn] 101 days without a buyer meeting — recovery is currently resting on a single status update from a brand-new contact."
Globe Telecom,006P7000008hZHF,"GLOBE TELECOM, INC",Shortlisted,40.0,30.0,28.0,78.0,Stalled,10.8,ai,0,2026-07-09T16:36:28.846692+00:00,"[warn] Deal size cut nearly in half — $650K → $350K only 33 days ago, alongside the 169-day close push, both undercutting the 'Best Case' tag. ► Re-validate scope/pricing with Ortega and Jerry before honoring Best Case. || [warn] No economic-buyer access in 19 months — last CEO/CFO contact was 31-Jul-2024; all 2026 engagement is mid-tier (Ortega, procurement). ► Force the planned F2F with Jerry (VP Procurement) and Anton onto the calendar. || [warn] Incumbent renewal looming again — SAP Ariba, already extended once (Aug-2025), has a renewal approaching per the 6-Jun-2026 note, risking a default renewal absent action. ► Pin a firm RFP timeline before that window closes. || [good] Real depth on record — a 2024 AI workshop, ongoing Chief AI Officer relationship (incl. the 21-May-2026 walkthrough), and a historical CEO/CFO touch show this wasn't a shallow engagement. || [good] Pain and competitive landscape are clear — Globe's own leadership has voiced budget/consolidation urgency, and Ariba is a known, understood incumbent rather than a hidden threat. || [warn] Decision and paper process both unconfirmed — MEDDPICC shows decision_process and paper_process as gaps and champion only 'partial.' ► Get Ortega to commit to a dated internal presentation to management.","[warn] Close date slipped 169 days — CloseDate moved 2026-07-15 → 2026-12-31, the latest entry in a multi-year pattern of pushes since 2024. ► Get a firm, buyer-confirmed date, not another placeholder. || [warn] No future meeting on the calendar — next_scheduled is null; last confirmed session was the 21-May-2026 Agentic AI walkthrough, 49 days dark. ► Convert the 'planning a F2F asap' note into a dated invite this week. || [good] Procurement re-engaged — Joseph Ortega (Head of Procurement) had a 'good meeting' on 6-Jun-2026 and is planning to present Zycus internally to management as Ariba's renewal approaches. || [warn] Rep carrying the cadence — 12 SFDC email touches in 60 days vs only 2 buyer touches in 30 days; buyer engagement points (60d) are just 9.2. ► Shift from rep-chasing to a buyer-owned action item. || [warn] Champion gone quiet — the contact who once called Zycus 'well positioned for single-source' has gone passive; the current driver (Ortega) is unproven at decision-maker level.","[warn] No budget or paper process confirmed — MEDDPICC lists paper_process and decision_process as gaps; no 2026 CFO sign-off is documented. ► Request written budget/timeline confirmation from Jerry. || [good] Procurement doing internal selling — Ortega is planning to present Zycus internally to management ahead of the Ariba renewal, a genuine buyer-owned step. || [warn] No technical/security review in over 18 months — last integration check was Oct-2024; nothing shows the buyer running its own 2026 evaluation. ► Propose a scoped technical re-validation tied to the upcoming RFP. || [warn] No references or documents requested — nothing in the record shows procurement paper actually moving.","[warn] 801-day deal with a chronic delay pattern — created Apr-2024, repeatedly pushed by management change and budget review, now slipping another 169 days. || [warn] Deal size nearly halved — $650K → $350K 33 days ago, undermining confidence in the current 'Best Case' forecast. || [warn] Economic buyer dark for 19 months — no CEO/CFO engagement since Jul-2024; current contact is mid-tier procurement only. || [warn] Incumbent renewal window reopening — SAP Ariba's contract, already extended once, is up again per the 6-Jun-2026 note, with a now-passive champion unable to block it. || [warn] Decision process and paper process both unconfirmed in MEDDPICC, with no dated milestone or future meeting scheduled."
Gamuda,006P700000Q15OU,GAMUDA BERHAD,Shortlisted,52,56,39.9,11.7,Early Read,,hybrid,1,2026-07-08T08:28:33.007349+00:00,,,,
Cebu Pacific Air,0066700000wdNe1,Cebu Pacific Air,Shortlisted,52.0,68.0,58.0,63.0,Close-date risk,10.7,ai,3,2026-07-09T12:53:30.548988+00:00,"[good] Champions call us favored — Astrid (8 Jul, ProcureCon) said Zycus is 'favored already (in confidence)'; Rohan (26 May) called Zycus the 'clear favored vendor.' || [warn] Economic buyer never engaged — CFO Mark Cezar has had no direct contact; 9 Jul note only floats a 'likely' meeting during the RFP window. ► Force a confirmed CFO touchpoint before RFP responses are due. || [warn] Vote-holder's real preference unconfirmed — Pam 'is in control of voting' and needs sensitive handling; her true leaning isn't buyer-confirmed as of 9 Jul. || [warn] Close date outruns the actual process — RFP/requirements were only 'coming' as of 9 Jul, yet recorded close is 30 Jul (21 days) with no pricing or paper process started. ► Re-baseline the close date to the real RFP timeline. || [good] Coupa pressuring on price but not winning hearts — Coupa is 'pushing hard and overpricing' (9 Jul) while champions still favor Zycus. || [warn] Budget story inconsistent — 26 May flagged 'funding caution' and smaller scope; 9 Jul claims budget 'at exco level... green light' with no formal confirmation. ► Get written exco budget approval.","[good] Exec dinner just happened — 9 Jul dinner with Pam (Dir. Procurement, the vote-controlling stakeholder), one day before this read. || [good] CPO and eval team traveled to engage — 6 Jun note confirms the CPO plus eval team came to ProcureCon (8-9 Jul) specifically to meet Zycus. || [good] Champions feeding live intel — Astrid and Rohan both shared confidential scope, pricing, and process-timing detail on 8-9 Jul. || [warn] No future meeting actually booked — next_scheduled is empty; the CFO session is only described as 'likely... 2-3 weeks' (9 Jul), not confirmed. ► Lock a dated CFO meeting before RFP responses go in. || [warn] Deal has stalled before — 26 May note: Rohan said the project would 'slow due to funding caution.' ► Get the exco budget sign-off in writing to stop a repeat stall. || [good] Genuinely two-way, not rep-chasing — 7 buyer touches in 30 days and 12 SFDC email touches in 60 days show reciprocal contact.","[good] CPO and eval team traveled to meet us — 6 Jun note confirms their in-person trip to ProcureCon (8-9 Jul) to engage Zycus directly. || [good] Champion coaching us on the RFP — 8 Jul note: Pam/Astrid 'want to give guidance on our responses.' || [good] Director-level exec giving personal time — 9 Jul dinner with Pam, the stakeholder who controls the vote. || [warn] No paper process started — MEDDPICC flags paper_process as a gap; no SOW, redline, or security review logged. ► Ask what procurement/security steps trigger post-RFP. || [warn] No commercial engagement yet — no pricing discussion or proposal acceptance appears in any dated Next Step entry through 9 Jul.","[warn] Economic buyer completely absent — CFO Mark Cezar has never engaged; only a hoped-for meeting 'likely' in 2-3 weeks per the 9 Jul note. ► Escalate an EB touch now, independent of the RFP timeline. || [warn] Close date unrealistic for the stage — 21 days to close while RFP requirements are still 'coming' (9 Jul), with no pricing or paper process underway. || [warn] Active price-based competitor — Coupa is 'pushing hard and overpricing' (9 Jul) and has real influence with the vote-controlling stakeholder. || [warn] Budget history is shaky — funding caution surfaced 26 May; the 9 Jul 'green light' is verbal only, with no formal exco approval documented. || [good] Partially offset by consistent champion advocacy — both Astrid and Rohan have repeatedly and independently named Zycus as favored."
Bandhan Bank,006P700000H55TV,Bandhan Bank,Shortlisted,70.0,73.8,44.2,18.9,Partial Read,10.3,hybrid,9,2026-07-08T21:13:42.234872+00:00,,,,
Arabian Industries,006P700000QvP7Z,Arabian Industries LLC,Shortlisted,70,57.8,44.2,13.6,Partial Read,,hybrid,2,2026-07-08T08:28:13.098813+00:00,,,,
ACEN,006P700000DkWgX,ACEN,Vendor Selected,20,8,18,82,Stalled,10.7,ai,4,2026-07-09T11:25:46.605748+00:00,"[good] EB face time was real, historically — direct sessions with Zee (President/CPO) on 28 Feb 2025 and 13 Aug 2025, with MEDDPICC showing economic_buyer, decision_criteria and identify_pain all confirmed. || [warn] Momentum gate applied — Vendor Selected would normally hold a ~40 qualification-depth floor, but Deal Momentum is ~8 (<30) after 330 days dark, so Win is halved to ~20 per the momentum gate (4.4b). || [warn] Champion gone quiet — Mher Tolentino-Blas was flagged as champion after the 13 Feb 2025 F2F, with no confirmed direct engagement since — roughly a 10-month silence. || [warn] Competitive intel is stale — SAP Ariba was named the other finalist on 3 Jun 2025 (~13 months ago) and never refreshed; the in-house/do-nothing option is now the more real threat given the repeated stalling. || [warn] Commercial blocker unresolved — SAP's secondary integration cost was flagged 22 May 2025 as a buyer concern, and no re-scoped proposal has landed since the Oct 2025 request to trim scope. || [warn] Paper isn't moving despite the stage label — decision_process and paper_process are both only 'partial,' with three separate exco cycles (Sep 2025, Jan 2026) producing no decision.","[warn] No buyer meeting in 330 days — last real session was the 18-min 'Project SAPAY' call on 13 Aug 2025; zero meetings logged in the 30/60/90-day windows. || [warn] Rep chasing into silence — 16 Mar 2026 'intro mail requesting a revival meeting' and 4 May 2026 'reached out to Zee for lunch and meeting' show one-way outreach with no confirmed buyer reply. || [warn] Exco keeps deferring — 22 Sep 2025 Zee confirmed a quarter's delay, 30 Oct 2025 exco pushed again, and the 14 Jan 2026 note is still just 'push Zee for submission in next exco.' || [warn] No dated future milestone — next_scheduled_meeting is null, so the deal doesn't qualify for process-mode protection and full stalling drag applies. || [good] Rep tried a fresh angle — the 4 May 2026 outreach pivoted to Agentic AI and Globe, reopening a topic ACEN has engaged with before. || [warn] Best Case forecast unchanged despite the stall — no CRM movement reflects 330 days of buyer silence.","[warn] No buyer-initiated action in ~10 months — every recent Next Step entry (16 Mar, 4 May 2026) is rep-driven outreach with no confirmed buyer response. || [warn] Exco deferral is the buyer's own doing — 22 Sep 2025 note: 'budget creation and resource allocation are currently not feasible,' still unresolved as of the Jan 2026 push. || [good] Deep historical investment when active — buyer sat through a 127-minute full system demo (21 Feb 2025) and separately requested a detailed architecture walkthrough (28 Jul 2025). || [warn] Paper/decision process still only partial — no procurement or security review confirmed moving currently. || [warn] No scheduled next step — next_scheduled_meeting is null and no references or paper activity are in motion.","[warn] Stage/forecast mismatch — recorded Vendor Selected + Best Case despite 330 days with zero buyer meetings; the CRM record is stale relative to reality. || [warn] Budget/approval frozen — exco postponed the project a full quarter in Sep 2025 and remains undecided through the Jan 2026 push. || [warn] Active named competitor plus a live cost objection — SAP Ariba is the confirmed other finalist, and the buyer's own flagged concern over SAP's integration cost adds uncertainty either way. || [warn] Both champion and EB gone dark — no confirmed engagement with Mher Tolentino-Blas or Zee beyond intermittent rep-initiated contact since Aug 2025. || [warn] Repeated timeline slippage — quarter-by-quarter delays logged from Sep 2025 through Jan 2026 with no firm new date secured."
